============================================================
SUMMARY STATISTICS
============================================================
Total successful tests: 100
Total images processed: 1

Detected Elements Statistics:
  Min: 71
  Max: 113
  Average: 78.48
  Total across all tests: 7848

OCR Text Statistics:
  Min: 52
  Max: 52
  Average: 52.00
  Total across all tests: 5200

Top 5 combinations by detected elements:
  1. Box=0.01, IoU=0.46, Elements=113, OCR=52
  2. Box=0.01, IoU=0.21, Elements=112, OCR=52
  3. Box=0.01, IoU=0.26, Elements=112, OCR=52
  4. Box=0.01, IoU=0.31, Elements=112, OCR=52
  5. Box=0.01, IoU=0.36, Elements=112, OCR=52

Top 5 combinations by OCR text:
  1. Box=0.01, IoU=0.01, Elements=105, OCR=52
  2. Box=0.01, IoU=0.06, Elements=108, OCR=52
  3. Box=0.01, IoU=0.11, Elements=111, OCR=52
  4. Box=0.01, IoU=0.16, Elements=111, OCR=52
  5. Box=0.01, IoU=0.21, Elements=112, OCR=52

================================================================================
DETAILED RESULTS TABLE
================================================================================
| Box  | IoU  | Detected Elements | OCR Text | Image Name        |
| 0.36 | 0.16 | 71                | 52       | TSS-TC-16-screen8 |
| 0.36 | 0.21 | 71                | 52       | TSS-TC-16-screen8 |
| 0.36 | 0.26 | 71                | 52       | TSS-TC-16-screen8 |
| 0.36 | 0.31 | 71                | 52       | TSS-TC-16-screen8 |
| 0.36 | 0.36 | 71                | 52       | TSS-TC-16-screen8 |
| 0.36 | 0.41 | 71                | 52       | TSS-TC-16-screen8 |
| 0.36 | 0.46 | 71                | 52       | TSS-TC-16-screen8 |
| 0.41 | 0.01 | 71                | 52       | TSS-TC-16-screen8 |
| 0.41 | 0.06 | 71                | 52       | TSS-TC-16-screen8 |
| 0.41 | 0.11 | 71                | 52       | TSS-TC-16-screen8 |
| 0.41 | 0.16 | 71                | 52       | TSS-TC-16-screen8 |
| 0.41 | 0.21 | 71                | 52       | TSS-TC-16-screen8 |
| 0.41 | 0.26 | 71                | 52       | TSS-TC-16-screen8 |
| 0.41 | 0.31 | 71                | 52       | TSS-TC-16-screen8 |
| 0.41 | 0.36 | 71                | 52       | TSS-TC-16-screen8 |
| 0.41 | 0.41 | 71                | 52       | TSS-TC-16-screen8 |
| 0.41 | 0.46 | 71                | 52       | TSS-TC-16-screen8 |
| 0.46 | 0.01 | 71                | 52       | TSS-TC-16-screen8 |
| 0.46 | 0.06 | 71                | 52       | TSS-TC-16-screen8 |
| 0.46 | 0.11 | 71                | 52       | TSS-TC-16-screen8 |
| 0.46 | 0.16 | 71                | 52       | TSS-TC-16-screen8 |
| 0.46 | 0.21 | 71                | 52       | TSS-TC-16-screen8 |
| 0.46 | 0.26 | 71                | 52       | TSS-TC-16-screen8 |
| 0.46 | 0.31 | 71                | 52       | TSS-TC-16-screen8 |
| 0.46 | 0.36 | 71                | 52       | TSS-TC-16-screen8 |
| 0.46 | 0.41 | 71                | 52       | TSS-TC-16-screen8 |
| 0.46 | 0.46 | 71                | 52       | TSS-TC-16-screen8 |

Comprehensive testing summary saved to: /Users/fischtech/repos/github/OmniParser/output/comprehensive_testing_summary_20250622_134359.json
Parameter sweep testing completed!
(base) fischtech@keiths-MBP OmniParser % 


============================================================
FINAL COMPREHENSIVE TESTING SUMMARY
============================================================
Total test combinations: 121
Successful combinations: 121
Failed combinations: 0

============================================================
SUMMARY STATISTICS
============================================================
Total successful tests: 121
Total images processed: 1

Detected Elements Statistics:
  Min: 52
  Max: 70
  Average: 62.27
  Total across all tests: 7535

OCR Text Statistics:
  Min: 52
  Max: 52
  Average: 52.00
  Total across all tests: 6292

Top 5 combinations by detected elements:
  1. Box=0.50, IoU=0.50, Elements=70, OCR=52
  2. Box=0.50, IoU=0.55, Elements=70, OCR=52
  3. Box=0.50, IoU=0.60, Elements=70, OCR=52
  4. Box=0.50, IoU=0.65, Elements=70, OCR=52
  5. Box=0.50, IoU=0.70, Elements=70, OCR=52

Top 5 combinations by OCR text:
  1. Box=0.50, IoU=0.50, Elements=70, OCR=52
  2. Box=0.50, IoU=0.55, Elements=70, OCR=52
  3. Box=0.50, IoU=0.60, Elements=70, OCR=52
  4. Box=0.50, IoU=0.65, Elements=70, OCR=52
  5. Box=0.50, IoU=0.70, Elements=70, OCR=52

================================================================================
DETAILED RESULTS TABLE
================================================================================
| Box  | IoU  | Detected Elements | OCR Text | Image Name        |
| ----- | ----- | ------------------ | --------- | ------------------ |
| 0.50 | 0.50 | 70                | 52       | TSS-TC-16-screen8 |
| 0.50 | 0.55 | 70                | 52       | TSS-TC-16-screen8 |
| 0.50 | 0.60 | 70                | 52       | TSS-TC-16-screen8 |
| 0.50 | 0.65 | 70                | 52       | TSS-TC-16-screen8 |
| 0.50 | 0.70 | 70                | 52       | TSS-TC-16-screen8 |
| 0.50 | 0.75 | 70                | 52       | TSS-TC-16-screen8 |
| 0.50 | 0.80 | 70                | 52       | TSS-TC-16-screen8 |
| 0.50 | 0.85 | 70                | 52       | TSS-TC-16-screen8 |
| 0.50 | 0.90 | 70                | 52       | TSS-TC-16-screen8 |
| 0.50 | 0.95 | 70                | 52       | TSS-TC-16-screen8 |
| 0.50 | 1.00 | 70                | 52       | TSS-TC-16-screen8 |
| 0.55 | 0.50 | 70                | 52       | TSS-TC-16-screen8 |
| 0.55 | 0.55 | 70                | 52       | TSS-TC-16-screen8 |
| 0.55 | 0.60 | 70                | 52       | TSS-TC-16-screen8 |
| 0.55 | 0.65 | 70                | 52       | TSS-TC-16-screen8 |
| 0.55 | 0.70 | 70                | 52       | TSS-TC-16-screen8 |
| 0.55 | 0.75 | 70                | 52       | TSS-TC-16-screen8 |
| 0.55 | 0.80 | 70                | 52       | TSS-TC-16-screen8 |
| 0.55 | 0.85 | 70                | 52       | TSS-TC-16-screen8 |
| 0.55 | 0.90 | 70                | 52       | TSS-TC-16-screen8 |
| 0.55 | 0.95 | 70                | 52       | TSS-TC-16-screen8 |
| 0.55 | 1.00 | 70                | 52       | TSS-TC-16-screen8 |
| 0.60 | 0.50 | 70                | 52       | TSS-TC-16-screen8 |
| 0.60 | 0.55 | 70                | 52       | TSS-TC-16-screen8 |
| 0.60 | 0.60 | 70                | 52       | TSS-TC-16-screen8 |
